fr,en,gemma_result
"Les ONG ont notamment souligné que, dans la mesure où il n’y a aucun signe d’apaisement des tensions politiques depuis 1999, une telle initiative risquait de conduire à un débat hautement politisé et contre-productif au sein de l’Assemblée générale.","These NGOs in particular pointed out that since there are no signs to the effect that political tensions have eased since 1999, such an initiative could create a highly politicised and counter-productive debate in the General Assembly.",<pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
Nous sommes toujours dans la situation où la cervelle d'animaux de moins de 12 mois peut être utilisée.,We still have a situation in which the brain from animals under 12 months old can be used.,<pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
"Quant à la Somalie, je voudrais insister sur le fait que la démission de l'ancien président Yusuf et le retrait des forces éthiopiennes offrent une occasion unique.","About Somalia, I would like to emphasise that the resignation of former president Yusuf and the withdrawal of Ethiopian forces creates a huge window of opportunity.","Sure, here is the translation:

""As for Somalia, I would like to emphasize that the resignation of former President Yusuf and the withdrawal of Ethiopian forces offer a unique opportunity.""<eos>"
"(ET) Mesdames et Messieurs, la liberté d'expression est l'élément le plus important de la démocratie.","(ET) Ladies and gentlemen, freedom of speech is the most important feature of democracy.","Sure, here is the translation:

""Ladies and Gentlemen, freedom of expression is the most important element of democracy.""<eos>"
Le nouveau gouvernement a aussi promis des réformes sur la voie de l'adhésion à l'UE.,The new Government also promised reforms on the path toward EU membership.,"Sure, here is the translation:

The new government has also promised reforms on the path to EU adhesion.<eos>"
"Je souhaite remercier les rapporteurs, M. Salvador Garriga Polledo et Mme Anne Jensen, pour leur brillant travail.","I wish to thank the rapporteurs, Salvador Garriga Polledo and Anne Jensen, for their excellent work.","Sure, here is the translation:

I wish to express my gratitude to reporters, M. Salvador Garriga Polledo and Mme Anne Jensen, for their hard work.<eos>"
L'alimentation du bétail avec des aliments destinés aux non-ruminants dans les exploitations mixtes a constitué une autre source de transmission.,Another source of transmission was cross-feeding of feed intended for non-ruminants to cattle on mixed farms.,"Sure, here is the translation:

The feeding of livestock with feed intended for non-ruminants in mixed farms has constituted another source of transmission.<eos>"
"De même, les nombreuses conférences à Washington, Kaboul, Bonn et Oslo donnent parfois l'impression d'être un sédatif plutôt que l'expression d'une politique énergique d'encouragement à la restauration de la démocratie dans ce pays.","Even the many conferences in Washington, Kabul, Bonn and Oslo sometimes tend to give the impression of being sedatives, rather than expressions of an energetic policy aimed at stiffening the resolve to establish democracy in this country.","Sure, here is the translation:

""Similarly, the numerous conferences held in Washington, Kabul, Bonn and Oslo sometimes give the impression of being sedative rather than the expression of an energetic policy of encouragement for the restoration of democracy in that country.""<eos>"
Le procès-verbal de la séance d'hier a été distribué.,"The Minutes of Tuesday, 10 March 1998 have been distributed.","Sure, here is the translation:

The minutes of yesterday's session have been distributed.<eos>"
"En ce qui concerne les monnaies, ce que vous dites est évident.","With regard to currencies, what you say is clear.","Sure, here is the translation:

""In regard to currencies, what you have said is well-observed.""<eos>"
Je soutiens l' ordre du jour établi par les dirigeants de l' UE au Sommet de Lisbonne de l' année dernière.,I support the agenda set by the EU leaders at their summit in Lisbon last year.,"Sure, here is the translation:

I support the agenda set by the EU leaders at the Lisbon Summit last year.<eos>"
"Enfin, Monsieur le Président, je voudrais plaider en faveur de quelques amendements déposés par les libéraux et les chrétiens-démocrates, notamment les amendements 1, 3, 6, 8 et 9.","Finally I would like to argue in favour of accepting some of the Amendments put forward by the Liberals and the Christian Democrats, particularly Nos 1, 3, 6, 8 and 9.",<pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
Les habitants de Gaza vivent dans l'indigence; la différence entre les deux territoires palestiniens commence à devenir évidente.,People in Gaza are living on the breadline; the difference between the two Palestinian territories is beginning to become obvious.,"Sure, here is the translation:

The inhabitants of Gaza live in indigence; the difference between the two Palestinian territories is becoming increasingly evident.<eos>"
C'est bien sûr ce qui a été dit clairement dans notre rapport et dans les contributions des collègues députés.,This is naturally what has been made clear in our report and in the contributions of fellow members.,"Sure, here is the translation:

""It is certainly what has been clearly stated in our report and in the contributions of the colleagues deputies.""<eos>"
"Il a sûrement raison de souligner l'énorme risque couru par les travailleurs et leur famille face à la mondialisation rapide, mais donner une place centrale à ce problème ne doit pas signifier protéger à tous prix les emplois existants.","To be sure, Sarkozy is right to note the enormous risks that workers and their communities face in this rapidly globalizing world. But putting this problem center stage should not mean protecting existing jobs come what may.","Sure, here is the translation:

It is understandable to emphasize the immense risk faced by workers and their families due to rapid globalization, but giving central stage to this problem should not imply protecting all existing jobs at all costs.<eos>"
"J'ai tenté d'éviter cela, mais peut-être devrions-nous tout de même en rester à la réalité des faits, et aussi de notre système juridique dans l'Union européenne.","I did try to avoid this, but perhaps we should base our arguments on the facts and on the system of law in the European Union.","Sure, here is the translation:

I had tried to prevent that, but perhaps we should all stay grounded in reality, and also in our legal system within the European Union.<eos>"
par écrit. - (EN) Je soutiendrai ce rapport avec une certaine réticence.,in writing. I will be supporting this report with a degree of reluctance.,"Sure, here is the translation:

**French:** Je soutiendrai ce rapport avec une certaine réticence.

**English:** I will support this report with a certain reluctance.<eos>"
"La Commission de l'environnement, de la santé publique et de la protection des consommateurs a manifesté sa confiance à l'égard des normes initiales de la Commission européenne.","The Committee on the Environment, Public Health and Consumer Protection has expressed its confidence in the original standards set by the European Commission.","Sure, here is the translation:

The Commission of the Environment, Public Health and Consumer Protection expressed its confidence in the initial standards of the European Commission.<eos>"
"Pour ce qui est des règles applicables, le Conseil doit attendre une proposition de la Commission avant de prendre toute décision en la matière.","In terms of the applicable rules, the Council must wait for a Commission proposal before making a decision on this issue.","Sure, here is the translation:

For applicable rules, the Council must wait for a proposal from the Commission before taking any decision in the matter.<eos>"
"Mais je continue à regretter qu'il n'y ait pas une voix plus forte qui s'élève contre cette barbarie et que les États-Unis puissent poursuivre une politique de faits accomplis sans que l'Union adopte une décision qui aille à l'encontre de ces faits accomplis, et que l'on continue à punir, non pas Saddam Hussein, qui est un tyran - je le répète -, mais le peuple iraqien, qui a déjà suffisamment souffert.","However, I still regret that a stronger voice has not been raised to condemn this attack, and that the United States should be able to pursue their policy of fait accompli without any opposition from the European Union. I must stress yet again that it is not Saddam Hussein who is being punished, despite being a tyrant, but the Iraqi people, who have already suffered enough.","Sure, here is the translation:

But I continue to regret that there has not been a stronger voice raised against this barbarity, and that the United States can continue a policy of facts accomplished without that the Union adopts a decision that goes against these facts accomplished, and that we continue to punish, not Saddam Hussein, who is a tyrant - I repeat -, but the Iraqi people, who have already suffered enough.<eos>"
"C'est de cela qu'il s'agit, et c'est pour cette raison que nous privilégions une politique étrangère et de sécurité commune plutôt qu'une politique étrangère nationaliste.","That is what this is about, and that is why we favour a common foreign and security policy over nationalist foreign policy.","Sure, here is the translation:

""That is the matter at hand, and for this reason, we prioritize a common foreign and security policy over a nationalist foreign policy.""<eos>"
"En 1997, la conférence ministérielle de La Haye a mené à la déclaration ministérielle de La Haye concernant les directives européennes sur les mesures efficaces destinées à prévenir et contrer le trafic des femmes à des fins d'exploitation sexuelle.","In 1997, the Ministerial Conference in The Hague resulted in The Hague Ministerial declaration on a European Code of Conduct to prevent and combat trafficking in women for the purpose of sexual exploitation.",<pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
"Dans l’intervalle, nous devons continuer à élaborer les programmes législatifs.","In the meantime, we must continue to work on the legislative programmes.","Sure, here is the translation:

In the meantime, we must continue to develop legislative programs.<eos>"
Notre commission a soigneusement étudié la façon dont la Fondation peut utilement intervenir pour répondre aux besoins des nouvelles démocraties d'Europe en matière de formation professionnelle et nos propositions sont axées sur une planification minutieuse et la nécessité d'un contrôle.,Our committee has seriously considered how the Foundation can play a significant and valuable role in meeting the vocational training needs of the new democracies in Europe and our proposals are aimed at careful planning and the need for monitoring.,"Sure, here is the translation:

Our commission has carefully studied the way in which the foundation can effectively intervene to meet the needs of the new democracies of Europe in terms of professional training, and our proposals are based on a meticulous planning and the necessity of control.<eos>"
"(PT) Monsieur le Président, nous sommes arrivés à la fin de l'Année européenne de lutte contre la pauvreté et l'exclusion sociale.","(PT) Mr President, we have reached the end of the European Year for Combating Poverty and Social Exclusion.","Sure, here is the translation:

Mr. President, we have arrived at the end of the European Year of Fight Against Poverty and Social Exclusion.<eos>"
"Je crois comprendre que des contrôles sont réalisés à intervalles réguliers, mais, dans ce cas, ils étaient clairement défaillants dans ce secteur.","I understand that there are regular checks carried out, but in this case there were clearly some gaps in the checks on that market.","Sure, here is the translation:

I believe I understand that controls are carried out regularly, but in this case, they were clearly ineffective in this sector.<eos>"
"Il ne devrait donc y avoir aucune difficulté, mais une évolution récente, qui n’a guère plus de vingt ans, a compliqué les choses.","So, there should be no problem, except for the fact that a recent development, scarcely more than 20 years old, has complicated matters.","Sure, here is the translation:

There should not be any difficulty, but a recent evolution, which has not lasted more than twenty years, has complicated matters.<eos>"
"Comme le Commissaire, je pense que le marché unique des transports aériens a rencontré un succès singulier.",I agree with the Commissioner that the single aviation market has been a singular success.,"Sure, here is the translation:

As the Commissioner, I believe that the single market for air transport has achieved a unique success.<eos>"
"Nous prévoyons à présent de lancer des euro-obligations, mais nous sommes en train d'élaborer un paquet sensé.","We are now planning to launch eurobonds, but we are putting together a sensible package.","Sure, here is the translation:

We are currently planning to launch euro-obligations, but we are also working on a well-structured package.<eos>"
"Le seuil est certes trop haut pour nous, mais c'est une réussite formidable que de permettre aux États membre de prendre des mesures qui garantissent la coexistence entre l'agriculture du génie génétique, l'agriculture conventionnelle et l'agriculture biologique.","The threshold is admittedly too high for our liking, but it counts as a huge success that we are enabling the Member States to take measures to ensure that GM, traditional and organic farming are able to coexist.","Sure, here is the translation:

The threshold is too high for us, but it is a formidable success to allow the member states to take measures that guarantee the coexistence between genetic engineering agriculture, conventional agriculture and organic agriculture.<eos>"
